District,Practice,Plot,Latitude,Longitude,Date,Rainfall_on_day_mm,1-R,1-F,2-R,2-F,3-R,3-F,4-R,4-F,5-R,5-F,Avg_Soil_Moist_%
Medak,PMDS,Treatment 2,17.863304,78.547178,6-9-25,0.1,,9.5,,7.7,,9.6,,14,,21.4,12.44
Medak,PMDS,Treatment 2,17.863304,78.547178,11-9-2025,11.5,,10.7,,10.1,,9.3,,9.4,,7.6,9.42
Medak,PMDS,Treatment 2,17.863304,78.547178,13-09-25,5.7,,19.6,,18,,23.6,,20.8,,12.6,18.92
Medak,PMDS,Treatment 2,17.863304,78.547178,16-09-25,0.4,,10.3,,8.6,,11.8,,9.8,,14.3,10.96
Medak,PMDS,Treatment 2,17.863304,78.547178,18-09-25,10.6,,13.7,,10.6,,15.3,,22.8,,20.3,16.54
Medak,PMDS,Treatment 2,17.863304,78.547178,20-09-25,0,,11.8,,14.1,,9.8,,19.5,,22,15.44
Medak,PMDS,Treatment 2,17.863304,78.547178,23-09-25,0.2,,13.4,,14.4,,21.2,,12,,20.3,16.26
Medak,PMDS,Treatment 2,17.863304,78.547178,26-09-25,17.9,,23.4,,9.2,,16.8,,17,,17.3,16.74
Medak,PMDS,Treatment 2,17.863304,78.547178,29-09-25,0.9,,10.5,,12.8,,15.8,,13.9,,16.3,13.86
Medak,PMDS,Treatment 2,17.863304,78.547178,01-10-25,0.1,,12.6,,13.5,,10.6,,19.9,,16.3,14.58
Medak,PMDS,Treatment 2,17.863304,78.547178,7-10-2025,0.1,,17.7,,15,,13.6,,7.4,,17.2,14.18
Medak,PMDS,Treatment 2,17.863304,78.547178,9-10-2025,0,,16,,8.8,,10.2,,11.4,,10.1,11.3
Medak,PMDS,Treatment 2,17.863304,78.547178,11-10-25,0,,12.3,,10.8,,9.3,,13.6,,10.5,11.3
Medak,PMDS,Treatment 2,17.863304,78.547178,15-10-25,0,,6.3,,9.4,,8,,10.9,,8.4,8.6
Medak,PMDS,Treatment 2,17.863304,78.547178,19-10-25,0,,10.1,,8.2,,6.5,,9.2,,8.6,8.52
Medak,PMDS,Treatment 2,17.863304,78.547178,22-10-25,0,,10.6,,9.8,,10.5,,8.3,,9.2,9.68
